0,1,2
"Eventos y espectáculos públicos que fomenten el deporte, la cultura, la recreación, familiar,
sin fines de lucro, a título gratuito y sin venta de bebidas alcohólicas",,2.00
"Presentación de eventos públicos con afluencia masiva
(por cada período de 15 días)",1 a 200 personas,6.00
,201 a 500 personas,10.00
,"501 a 1,000 personas",20.00
,"1,001 en adelante",30.00
Instalación de Juegos Mecánicos,1 a 5 juegos,6.00
,6 a 10 juegos,12.00
,11 juegos en adelante,18.00
Instalación de Ferias,Por cada periodo de 7 días,33.00
Quema de Pirotecnia,Por evento,15.00
