0,1,2,3,4,5
,CONCEPTO,,,UMA,
Sala de usos múltiples por evento y por día,,,33.00 a 50.00,,
Sala de usos múltiples por evento y por día con limpieza,,,33.00 a 70.00,,
Palapa del Cerro de los Gallos por evento y por día,,,10.27 a 48.54,,
Palapas individuales del Cerro de los Gallos por evento y por día,,,0.50 a 1.30,,
Palenque del Cerro de los Gallos,,,48.19 a 192.78,,
"Cancha de fútbol 7 por partido, todo público, luz natural",,,1.30,,
"Cancha de fútbol 7 por partido, todo público, luz artificial",,,2.61,,
"Cancha de fútbol 7 por partido, ligas municipales y clubes comunitarios, luz natural",,,0.65,,
"Cancha de fútbol 7 por partido, ligas municipales y clubes comunitarios, luz artificial",,,1.30,,
