0,1,2,3,4,5
,CONCEPTO,,,IMPORTE,
"INGRESOS POR LA VENTA DE BIENES Y PRESTACIÓN DE SERVICIOS DE ORGANISMOS
DESCENTRALIZADOS",,,$0.00,,
Sistema Municipal para el Desarrollo Integral de la Familia,,,$0.00,,
Instituto Municipal de la Juventud,,,$0.00,,
Instituto Municipal de la Mujer,,,$0.00,,
Otros,,,$0.00,,
INGRESOS DE OPERACIÓN DE ENTIDADES PARAMUNICIPALES EMPRESARIALES,,,$0.00,,
Ingresos de operación de Entidades Paramunicipales Empresariales,,,$0.00,,
"INGRESOS POR LA VENTA DE BIENES Y SERVICIOS PRODUCIDOS EN ESTABLECIMIENTOS DEL
GOBIERNO CENTRAL",,,$0.00,,
Ingresos por la venta de bienes y servicios de organismos producidos en establecimientos del Gobierno Central,,,$0.00,,
,Total de Ingresos por Venta de Bienes y Servicios,,,$0.00,
