0,1,2,3,4,5,6
AUTORIZACIÓN,GIRO,,APERTURA,,,REFRENDO
,,,UMA,,,
Pulque,Pulquería,150.00,,,6.00,
Cerveza,Salón de eventos,100.00,,,20.00,
,Billar,50.00,,,12.00,
,Restaurante,120.00,,,20.00,
,"Fonda, cenaduría, lonchería, ostionería,
marisquería y taquería",48.00,,,6.00,
,Depósito de cerveza,150.00,,,58.00,
,"Tienda de autoservicio, de conveniencia y
similares",356.80,,,178.00,
,Miscelánea y similares,60.00,,,25.00,
,Cervecería,120.00,,,15.00,
Pulque y Cerveza,Pulquería,150.00,,,29.00,
"Cerveza, Vinos de
Mesa y Vinos",Salón de eventos,62.40,,,35.00,
,Cantina,150.00,,,50.00,
,"Tienda de autoservicio, de conveniencia y
similares",357.00,,,200.00,
,Discoteca,250.00,,,42.00,
,Bar,150.00,,,42.00,
,Hotel,200.00,,,66.00,
,Restaurante,120.00,,,15.00,
,Vinatería,41.00,,,33.00,
,Tienda de autoservicio,100.00,,,42.00,
Por refrendo extemporáneo se incrementará cada trimestre 3.50 UMA,,,,,,
