0,1,2
,De recién nacido muerto,1.35
Constancia de denuncia de nonato según artículo 325 del Código Civil del Estado de Querétaro.,,0.6125
"Inscripción de ejecutoria que declara: incapacidad legal para administrar bienes, ausencia, presunción de muerte
o tutela de incapacitados",,6.25
Rectificación de acta,,1.25
Constancia de inexistencia de acta,,2.00
"Constancia de cualquier acto expedido por la Oficialía del Registro Civil, por cada hoja",,2.00
Inscripción de actas levantadas en el extranjero,,8.00
"Copias certificadas de documentos expedidos por la Dirección Estatal del Registro Civil, por cada hoja",,1.35
"De otro Estado convenido. La tarifa será independientemente de los cobros que haga la autoridad que la expide
y del envío según convenio o disposición correspondiente",,2.50
Uso del sistema informático para expedición de certificación automática por documento.,,0.10
"Uso del sistema informático por autoridad distinta al Registro Civil, por documento",,1.00
Aclaración administrativa de acta,,1.00
Anotación marginal,,2.00
"Copia certificada de cualquier documento expedido por la Oficialía del Registro Civil, por cada hoja",,1.35
Cotejo de actas registradas en los libros que conforman el archivo del Registro Civil,,1.35
