0,1,2,3,4,5
,CONCEPTO,,,IMPORTE,
IMPUESTOS SOBRE LOS INGRESOS,,,"$250,000.00",,
Impuesto de Entretenimientos Públicos Municipales,,,"$250,000.00",,
IMPUESTO SOBRE EL PATRIMONIO,,,"$15,200,000.00",,
Impuesto Predial,,,"$6,000,000.00",,
Impuesto Sobre Traslado de Dominio,,,"$8,000,000.00",,
"Impuesto sobre Fraccionamientos, Condominios, Fusión, Subdivisión y Relotificación de Predios",,,"$1,200,000.00",,
ACCESORIOS,,,"$1,540,000.00",,
OTROS IMPUESTOS,,,"$7,008,250.00",,
Impuesto para Educación y Obras Públicas Municipales,,,"$7,008,250.00",,
"IMPUESTOS NO COMPRENDIDOS EN LA LEY DE INGRESOS VIGENTE, CAUSADOS EN EJERCICIOS
FISCALES ANTERIORES, PENDIENTES DE LIQUIDACIÓN O PAGO",,,"$2,700,000.00",,
"Impuestos no comprendidos en la Ley de Ingresos vigente, causados en ejercicios fiscales anteriores, pendientes
de liquidación o pago",,,"$2,700,000.00",,
,Total de Impuestos,,,"$26,698,250.00",
