0,1,2,3,4,5
Por los servicios prestados por la dependencia encargada de los Servicios Públicos Municipales,,,$0.00,,
Por los Servicios prestados por los panteones municipales,,,"$560,000.00",,
Por los Servicios prestados por el Rastro Municipal,,,"$2,070,000.00",,
Por los Servicios prestados en mercados municipales,,,"$1,450,000.00",,
Por los Servicios prestados por la Secretaría del Ayuntamiento,,,"$378,000.00",,
Por el Servicio de Registro de Fierros Quemadores y su renovación,,,$0.00,,
Por los Servicios prestados por otras autoridades municipales,,,"$1,695,000.00",,
ACCESORIOS DE DERECHOS,,,$0.00,,
"DERECHOS NO COMPRENDIDOS EN LA LEY DE INGRESOS VIGENTE, CAUSADOS EN EJERCICIOS
FISCALES ANTERIORES PENDIENTES DE LIQUIDACIÓN O PAGO",,,$0.00,,
"Derechos no comprendidos en la Ley de Ingresos vigente, causados en ejercicios fiscales anteriores, pendientes
de liquidación o pago",,,$0.00,,
,Total de Derechos,,,"$20,883,000.00",
