0,1,2,3,4,5
,CLASIFICACIÓN,,,UMA,
"Agricultura, ganadería, aprovechamiento forestal, pesca y caza",,,3.50,,
Construcción,,,18.00,,
Industrias,,,83.00,,
Comercio al por mayor,,,20.00,,
Comercio al por menor,,,3.50,,
"Transportes, correos y almacenamientos",,,18.00,,
Servicios financieros y de seguros,,,De 18.00 a 67.00,,
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,,,15.00,,
Alquiler sin intermediación de salones para fiestas y convenciones.,,,De 4.00 a 40.00,,
"Servicios profesionales, científicos y técnicos",,,15.00,,
Dirección de corporativos y empresas,,,15.00,,
"Servicios de apoyo a los negocios y manejo de desechos y servicios de
remediación",,,15.00,,
Servicios educativos,,,15.00,,
Servicios de salud,,,20.00,,
Servicios de esparcimiento cultural y deportivo y otros servicios recreativos,,,15.00,,
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,,,15.00,,
Gasolineras,,,83.00,,
Hotel y motel de 1 a 20 habitaciones,,,15.00,,
Hotel y motel de 21 a 40 habitaciones,,,25.00,,
Hotel y motel de 41 a 60 habitaciones,,,33.00,,
Hotel y motel de 61 en adelante,,,50.00,,
Gaseras,,,41.00,,
Renta de cabañas,,,29.00,,
Guarderías,,,10.00,,
Servicios de telecomunicación,,,20.00,,
"Agencia de viajes, touroperadoras, transporte turístico por tierra",,,10.00,,
Estacionamiento particular,,,5.00,,
Auto lavados,,,5.00,,
Tienda departamental,,,207.00,,
Artículos exclusivamente artesanales propios de la región,,,3.50,,
Otros servicios excepto actividades de Gobierno,,,11.00,,
Por refrendo extemporáneo se incrementará cada trimestre,,,1.50,,
Restaurante,,,15.00,,
"Fonda, Cenaduría, Lonchería, Ostionería, Marisquería y Taquería",,,8.00,,
Laboratorios,,,15.00,,
Tienda de autoservicio,,,38.00,,
