0,1,2,3,4,5
,TIPO,,,UMA,
"Cobro mínimo a la recepción de trámite de permiso, licencia de construcción, opinión técnica,
constancia, dictamen, modificación, subdivisión, fusión, informe de uso de suelo, informe en
vía pública, o de cualquier modalidad e independientemente del resultado de la misma. El cual
se tomará como anticipo si resulta favorable aplicándose el cobro complementario del trámite
a solicitar",,,4.00,,
"Cobro mínimo a la recepción de trámite de licencia de ruptura y reparación de vía pública,
licencia de ocupación temporal de la vía pública, licencia de intervención de vía pública para
construcción de rampa de acceso, licencia de construcción de cajete para área verde, licencia
para reparación de banqueta e informe de vialidad, independiente del resultado de la misma,
el cual se tomará a cuenta de los derechos por pagar en caso de ser positiva la respuesta",,,2.50,,
Por expedición de aviso de suspensión temporal de obra,,,2.00,,
Por cambio de Director Responsable de Obra con licencia vigente,,,4.00,,
Por cambio de Director Responsable de Obra con licencia vencida,,,6.00,,
Por expedición de aviso de suspensión temporal de obra,,,4.00,,
"Por modificación o cambio de proyecto con licencia vigente, siempre y cuando los M2 de
construcción sean igual o menor a los autorizados",,,5.00,,
"Por licencia para remodelación interior de inmuebles para uso comercial, de servicios o
industrial. En superficies mayores a 50 M2",,,"50% de lo señalado en la
tabla por licencias de
construcción.",,
"Por modificación o cambio de proyecto con licencia de construcción anterior vencida
adicionalmente se cobrará",,,5.00,,
Por constancia de minuta del predio,,,6.00,,
Por licencias de acabados en fachadas con vigencia a tres meses por M2,,,0.035,,
"Licencias de construcción para modificación (rampa de acceso, cajete para área verde) y/o
reparación de banqueta",,,2.50,,
"Licencia provisional de trabajos preliminares por tres meses (incluye excavación, cimentación,
drenaje sanitario, drenaje pluvial) por M2, más aparte de la licencia de construcción
correspondiente.",,,0.30,,
