0,1,2,3,4,5
,CONCEPTO,,,IMPORTE,
PARTICIPACIONES,,,"$166,437,663.00",,
Fondo General de Participaciones,,,"$111,580,167.00",,
Fondo de Fomento Municipal,,,"$27,721,125.00",,
Impuesto Especial sobre Producción y Servicios,,,"$2,705,771.00",,
Fondo de Fiscalización y Recaudación,,,"$7,411,837.00",,
Incentivos a la Venta Final de Gasolinas y Diésel,,,"$1,534,698.00",,
Impuesto Federal sobre Tenencia o Uso de Vehículos,,,$0.00,,
Fondo de Compensación del Impuesto Sobre Automóviles Nuevos,,,"$332,938.00",,
Incentivos por el Impuesto sobre Automóviles Nuevos,,,"$2,294,456.00",,
"Impuesto por la Venta de Bienes cuya Enajenación se encuentra gravada por la Ley del Impuesto Especial sobre
Producción y Servicios",,,"$445,177.00",,
Reserva de Contingencia,,,$0.00,,
Fondo I.S.R.,,,"$11,862,835.00",,
I.S.R. Incentivos por la enajenación de bienes inmuebles Art. 126,,,"$548,659.00",,
Otras Participaciones,,,$0.00,,
APORTACIONES,,,"$202,622,931.00",,
Fondo de Aportaciones para la Infraestructura Social Municipal,,,"$140,047,710.00",,
Fondo de Aportación para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,,,"$62,575,221.00",,
CONVENIOS,,,$0.00,,
Convenios,,,$0.00,,
INCENTIVOS DERIVADOS DE LA COLABORACIÓN FISCAL,,,$0.00,,
Incentivos Derivados de la Colaboración Fiscal,,,$0.00,,
FONDOS DISTINTOS DE APORTACIONES,,,$0.00,,
Fondos Distintos de Aportaciones,,,$0.00,,
,"Total de Participaciones, Aportaciones, Convenios, Incentivos Derivados de la Colaboración Fiscal y Fondos",,"$369,060,594.00",,
,Distintos de Aportaciones,,,,
