0,1,2,3,4,5,6,7,8,9,10
CONCEPTO,,,UMA,,,,,,,
,,,0 HASTA 1.99,,2 HASTA 4.99,,,5 HASTA 9.99,"DE 10 O MÁS
HAS.",
,,,HAS.,,HAS.,,,HAS.,,
Urbano,Residencial,36.00,,42.00,,,48.00,,54.00,
,Popular,30.00,,36.00,,,42.00,,48.00,
,Urbanización progresiva,24.00,,30.00,,,36.00,,42.00,
,Institucional,0.00,,0.00,,,0.00,,0.00,
Campestre,Residencial campestre,36.00,,42.00,,,48.00,,54.00,
,Rústico campestre,30.00,,36.00,,,42.00,,48.00,
Industrial,Micro industria,36.00,,42.00,,,48.00,,54.00,
,Ligera,48.00,,54.00,,,60.00,,72.00,
,Mediana,60.00,,66.00,,,72.00,,78.00,
,Pesada,72.00,,78.00,,,84.00,,90.00,
Comercial,,48.00,,54.00,,,60.00,,66.00,
Cementerios,,24.00,,30.00,,,36.00,,42.00,
Otros no especificados,,48.00,,54.00,,,60.00,,66.00,
