0,1,2,3,4,5
,CONCEPTO,,,IMPORTE,
Impuestos,,,"$26,698,250.00",,
Contribuciones de Mejoras,,,"$1,200,000.00",,
Derechos,,,"$20,883,000.00",,
Productos,,,"$150,000.00",,
Aprovechamientos,,,"$1,810,000.00",,
Ingresos por la Venta de Bienes y prestación de Servicios,,,$0.00,,
Total de Ingresos Propios,,,"$50,741,250.00",,
"Participaciones, Aportaciones, Convenios, Incentivos Derivados de la Colaboración Fiscal y Fondos Distintos de
Aportaciones",,,"$369,060,594.00",,
"Transferencias, Asignaciones, Subsidios y Subvenciones",,,$0.00,,
"Total Participaciones, Aportaciones, Convenios, Incentivos Derivados de la Colaboración Fiscal y
Fondos Distintos de Aportaciones, Transferencias, Asignaciones, Subsidios y Subvenciones",,,"$369,060,594.00",,
Ingresos derivados de financiamiento,,,$0.00,,
Total de Ingresos derivados de financiamiento,,,$0.00,,
Financiamiento Propio,,,"$25,000,000.00",,
Total de Financiamiento Propio que se ejercerá,,,"$25,000,000.00",,
,Total de Ingresos para el Ejercicio Fiscal 2024,,,"$444,801,844.00",
